ArraySize,Threads,Cutoff,Time(ms)
2000000,1,2000000,128
2000000,2,1000000,93
2000000,4,500000,72
2000000,8,250000,75
2000000,16,125000,75
4000000,1,4000000,145
4000000,2,2000000,149
4000000,4,1000000,149
4000000,8,500000,152
4000000,16,250000,156
20000000,1,20000000,850
20000000,2,10000000,828
20000000,4,5000000,826
20000000,8,2500000,835
20000000,16,1250000,849
40000000,1,40000000,1673
40000000,2,20000000,1786
40000000,4,10000000,1677
40000000,8,5000000,1692
40000000,16,2500000,1718
100000000,1,100000000,4462
100000000,2,50000000,4368
100000000,4,25000000,4324
100000000,8,12500000,4484
100000000,16,6250000,4752
